Date,Open,High,Low,Close,Volume
2016-12-21,174.86,175.72,173.11,174.62,297030
2016-12-22,174.6,175.44,172.83,173.1,764857
2016-12-23,173.73,175.49,173.73,175.43,325653
2016-12-27,175.93,178.11,175.33,177.44,376051
2016-12-28,177.31,177.57,174.78,175.34,306714
2016-12-29,175.3,177.34,174.62,175.49,317272
2016-12-30,176.29,176.35,174.38,174.93,419204
2017-01-03,175.68,176.2,174.05,175.15,612238
2017-01-04,175.0,178.57,174.48,178.14,377911
2017-01-05,177.99,177.99,175.46,176.37,506245
2017-01-06,176.35,178.18,175.3,177.21,344047
2017-01-09,177.61,178.73,176.55,178.08,527524
2017-01-10,177.15,182.91,177.15,181.8,725501
2017-01-11,181.08,181.89,175.98,177.76,668664
2017-01-12,177.18,178.47,175.73,177.4,480736
2017-01-13,177.63,180.64,177.06,179.54,387498
2017-01-17,178.25,182.84,177.69,182.08,591651
2017-01-18,183.0,184.14,181.99,183.01,438026
2017-01-19,182.86,184.75,181.09,181.91,266399
2017-01-20,182.15,183.33,179.96,181.53,328141
2017-01-23,181.03,181.69,179.86,180.67,441785
2017-01-24,180.43,181.12,179.7,180.14,291397
2017-01-25,180.93,180.93,179.41,180.5,522212
2017-01-26,180.5,182.18,180.39,181.12,512785
2017-01-27,181.01,183.58,180.74,183.44,299292
2017-01-30,183.51,183.69,180.9,181.76,277872
2017-01-31,181.59,184.73,180.91,184.61,339423
2017-02-01,184.0,185.82,183.17,185.71,475052
2017-02-02,185.12,187.08,184.64,187.01,672803
2017-02-03,187.78,188.16,186.3,188.1,292350
2017-02-06,188.1,189.14,186.5,187.51,285561
2017-02-07,188.04,189.0,186.83,188.12,453048
2017-02-08,187.78,189.29,187.02,188.95,194733
2017-02-09,189.37,191.06,188.75,190.5,262093
2017-02-10,191.64,192.26,190.07,191.0,262891
2017-02-13,191.11,191.84,190.44,191.24,255350
2017-02-14,189.98,192.38,189.98,191.65,299863
2017-02-15,190.88,192.04,190.44,191.31,565369
2017-02-16,191.88,192.0,189.41,190.51,422327
2017-02-17,190.58,196.03,190.18,195.91,539863
2017-02-21,195.39,197.36,195.18,195.46,394716
2017-02-22,195.43,197.06,194.5,194.97,307383
2017-02-23,195.38,197.47,194.83,196.92,532026
2017-02-24,197.15,200.03,195.88,199.72,405771
2017-02-27,199.72,200.04,195.96,198.94,434357
2017-02-28,198.51,199.94,197.69,199.14,439909
2017-03-01,200.0,201.0,199.16,200.76,682117
2017-03-02,200.63,201.83,199.49,201.14,698541
2017-03-03,199.28,200.5,193.91,194.46,1191686
2017-03-06,193.95,195.54,193.04,194.53,597250
2017-03-07,193.61,194.53,191.64,193.46,449882
2017-03-08,194.2,195.7,193.27,194.05,311021
2017-03-09,194.52,194.85,193.2,194.61,256397
2017-03-10,195.46,196.25,193.54,194.32,266410
2017-03-13,194.32,194.67,192.24,194.45,265137
2017-03-14,194.47,194.5,192.75,193.5,187160
2017-03-15,193.86,194.99,193.09,194.69,262942
2017-03-16,194.17,194.99,192.9,193.73,327756
2017-03-17,194.12,196.0,194.12,195.14,302827
2017-03-20,195.28,196.24,194.01,196.24,411288
2017-03-21,196.48,197.84,194.78,195.34,447970
2017-03-22,195.45,201.69,195.45,199.79,621673
2017-03-23,199.56,202.7,199.06,199.7,531132
2017-03-24,199.95,202.57,199.15,199.8,342656
2017-03-27,198.82,200.73,197.6,199.82,301854
2017-03-28,199.42,199.8,197.23,199.06,263571
2017-03-29,198.51,199.91,198.06,199.33,396530
2017-03-30,198.58,199.36,196.92,198.14,235962
2017-03-31,198.71,200.49,197.9,199.89,309561
2017-04-03,199.78,201.22,198.65,199.63,455204
2017-04-04,199.35,200.11,197.04,199.8,632048
2017-04-05,199.51,200.0,196.95,197.34,401079
2017-04-06,197.0,197.11,194.29,197.04,272361
2017-04-07,197.14,198.29,196.33,197.0,320913
2017-04-10,197.1,197.72,196.5,197.04,287132
2017-04-11,196.22,197.48,195.73,197.4,280162
2017-04-12,198.68,200.15,196.05,197.06,203621
2017-04-13,196.36,197.13,196.24,196.29,203747
2017-04-17,196.82,197.12,196.25,196.62,261151
2017-04-18,196.03,196.98,194.55,196.89,471953
2017-04-19,197.75,201.3,196.47,198.23,344423
2017-04-20,198.47,200.81,197.5,200.5,233105
2017-04-21,199.99,201.0,198.73,199.14,237604
2017-04-24,200.27,201.92,199.79,201.54,327406
2017-04-25,202.25,203.48,200.98,201.32,280818
2017-04-26,201.51,202.26,199.7,199.99,340336
2017-04-27,200.35,200.89,198.53,199.37,263683
2017-04-28,199.24,200.42,198.32,200.33,283098
2017-05-01,200.79,201.37,199.77,201.05,332373
2017-05-02,201.26,202.46,200.24,202.12,347717
2017-05-03,202.0,202.52,199.48,202.22,296895
2017-05-04,202.83,205.12,201.67,204.89,358367
2017-05-05,205.28,206.67,204.27,205.71,327518
2017-05-08,205.77,207.2,204.51,206.4,399783
2017-05-09,206.58,208.14,205.9,207.65,635975
2017-05-10,207.34,208.1,206.19,207.34,284141
2017-05-11,206.33,207.64,205.62,207.4,298530
2017-05-12,207.14,208.3,207.1,207.59,264338
2017-05-15,207.58,210.86,207.58,209.87,685825
2017-05-16,210.86,210.86,208.8,210.46,196226
2017-05-17,208.89,210.38,208.89,209.41,319499
2017-05-18,210.05,211.61,209.25,210.39,234210
2017-05-19,210.25,213.23,210.25,212.62,1103870
2017-05-22,212.09,217.44,211.67,217.34,526138
2017-05-23,216.91,218.16,216.06,217.08,333477
2017-05-24,217.79,218.18,215.55,217.67,240782
2017-05-25,217.76,218.68,216.23,218.32,380844
2017-05-26,218.33,218.89,217.12,217.46,157217
2017-05-30,216.52,218.66,216.03,218.2,293525
2017-05-31,218.52,219.8,216.93,218.75,384046
2017-06-01,219.2,219.81,215.24,219.79,587011
2017-06-02,227.64,240.42,226.72,238.32,1153555
2017-06-05,239.35,243.37,238.68,240.89,845337
2017-06-06,240.53,242.24,238.9,241.62,333530
2017-06-07,242.8,243.89,241.03,243.1,454056
2017-06-08,241.98,242.99,239.92,241.76,582756
2017-06-09,241.5,242.48,235.04,237.43,818535
2017-06-12,237.13,237.48,231.27,236.75,537368
2017-06-13,237.37,242.1,237.11,240.88,321055
2017-06-14,241.88,242.36,237.71,238.99,313180
2017-06-15,237.93,240.4,236.52,239.84,377723
2017-06-16,240.08,241.5,238.86,238.95,586390
2017-06-19,239.52,243.49,237.94,242.11,440774
2017-06-20,242.81,245.89,242.5,242.79,256990
2017-06-21,243.24,245.21,242.37,243.86,268893
2017-06-22,244.04,247.8,243.36,245.06,499108
2017-06-23,245.66,246.8,244.82,246.19,405469
2017-06-26,246.55,248.5,245.53,246.76,266276
2017-06-27,245.68,246.69,243.23,243.25,396098
2017-06-28,244.95,245.3,241.56,242.35,495907
2017-06-29,241.03,242.68,235.74,237.12,949143
2017-06-30,238.27,241.25,237.02,239.42,490142
2017-07-03,239.42,239.92,236.02,236.38,189349
2017-07-05,236.48,238.55,234.55,238.03,465427
2017-07-06,237.45,239.24,235.28,236.19,294007
2017-07-07,237.18,243.27,236.75,242.73,586572
2017-07-10,242.31,244.66,240.9,244.14,710505
2017-07-11,244.34,245.01,242.58,244.53,438955
2017-07-12,245.41,248.83,244.65,247.91,511718
2017-07-13,248.45,248.95,243.91,246.45,494093
2017-07-14,246.96,252.05,245.45,250.36,549153
2017-07-17,251.44,252.85,250.72,251.98,518284
2017-07-18,251.84,253.32,249.05,253.2,449785
2017-07-19,254.71,256.39,254.29,254.9,355653
2017-07-20,254.89,255.87,253.8,254.0,228796
2017-07-21,250.9,251.74,246.2,248.41,370535
2017-07-24,248.33,250.76,247.49,250.62,252549
2017-07-25,250.76,251.56,247.99,250.83,364672
2017-07-26,250.49,250.56,246.16,247.01,287679
2017-07-27,247.38,247.62,243.65,246.64,295074
2017-07-28,246.04,246.99,244.43,246.6,216275
2017-07-31,,,243.0,243.87,455148
2017-08-01,245.13,246.22,243.04,245.29,332273
2017-08-02,245.44,246.35,241.16,244.27,296305
2017-08-03,244.07,245.19,243.17,244.78,260677
2017-08-04,244.9,245.62,242.82,243.72,140596
2017-08-07,243.95,245.04,242.74,244.63,262855
2017-08-08,244.63,245.37,243.04,243.59,148817
2017-08-09,242.98,244.51,242.38,242.71,237995
2017-08-10,241.29,243.11,239.18,239.99,334091
2017-08-11,241.29,242.17,239.5,240.92,286217
2017-08-14,243.87,244.01,242.27,243.28,430727
2017-08-15,243.72,244.18,241.49,242.92,412995
2017-08-16,243.08,245.2,242.51,244.57,303595
2017-08-17,244.31,246.65,243.27,245.18,360857
2017-08-18,245.75,246.92,244.5,245.05,896479
2017-08-21,245.19,247.9,244.86,247.7,298810
2017-08-22,247.35,250.37,246.98,249.12,513826
2017-08-23,248.16,250.15,246.1,246.36,233262
2017-08-24,247.03,247.58,245.42,245.66,158349
2017-08-25,246.61,248.79,246.13,246.33,259818
2017-08-28,247.25,248.22,246.01,247.63,288490
2017-08-29,247.15,247.89,244.18,246.15,567392
2017-08-30,246.55,248.31,245.47,246.11,443610
2017-08-31,245.91,251.47,245.91,250.83,594524
2017-09-01,245.0,245.0,234.62,236.18,1026728
2017-09-05,236.25,240.03,235.7,239.91,650265
2017-09-06,240.47,241.82,237.62,241.14,544650
2017-09-07,241.5,245.05,240.38,244.81,487717
2017-09-08,244.82,252.05,244.34,251.48,577385
2017-09-11,252.81,253.99,251.41,253.39,418758
2017-09-12,253.39,254.48,246.56,250.03,992297
2017-09-13,249.65,249.65,246.37,246.6,319958
2017-09-14,246.26,247.05,244.26,247.04,423908
2017-09-15,247.77,248.01,244.76,245.21,862709
2017-09-18,245.68,249.75,243.69,249.11,501191
2017-09-19,248.83,248.83,235.68,235.99,1168332
2017-09-20,236.5,239.4,232.8,236.11,736244
2017-09-21,236.0,236.0,231.51,232.41,636793
2017-09-22,232.96,240.68,230.69,239.77,1196838
2017-09-25,238.98,241.16,237.34,239.85,519586
2017-09-26,239.19,240.63,235.35,235.85,380244
2017-09-27,235.85,236.62,233.66,235.42,413929
2017-09-28,235.65,235.86,231.29,231.6,436533
2017-09-29,231.16,237.3,230.77,237.11,484079
2017-10-02,237.9,240.64,236.24,240.56,434590
